Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Analyst - Full Time,$50K-$55K (Glassdoor est.),"POSITION SUMMARY

Position provides clerical support by performing various administrative responsibilities such as scheduling meetings, taking meeting minutes, filing, maintaining files, collecting and analyzing data from multiple areas of the organization and transforming the data into visual results, and conducting special projects as assigned. This position manages highly sensitive and confidential information therefore position requires professionalism and discretion. Position requires the ability to manage multiple tasks and assignments simultaneously.

POSITION REQUIREMENTS

Minimum Education

• Two or more years supporting director/manager level staff preferred

• Minimum of associate’s degree preferred

Minimum Work Experience

• Minimum 2 years hospital or healthcare experience preferred.

• Dictation experience preferred

• Epic EMR experience preferred.

Competitive salary and benefit package, including:

• Health/Vision/Dental

• Flexible spending account

• 401K matching program after one year

• ETO

• Care Flight Membership

• Life Insurance Options

• UNUM supplemental insurance: short term and long term disability

• Nevada 529 college fund

• Many discounts with local companies

* ~ * PLEASE READ THE ATTACHED STANDARDS OF BEHAVIOR * ~*",3.9,"Carson Valley Medical Center
3.9","Gardnerville, NV","Gardnerville, NV",501 to 1000 employees,1993,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Analyst II,$50K-$55K (Glassdoor est.),"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with it
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4.0,"Insight Enterprises, Inc.
4.0","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International"
Population Health Data Analyst,$50K-$55K (Glassdoor est.),"Job Summary

The Healthcare Intelligence Analyst employs advanced analytics to gain critical insights into member health drivers, product/program concepts and value propositions, operational effectiveness and efficiencies, member specific health gaps and needs. This position is responsible for obtaining data from various sources, understanding relevant differences between each data source and creating database structures and reports for analysis and possible production reporting. The Healthcare Intelligence Analyst provides analytics to support Blue Cross Blue Shield of North Dakota’s (BCBSND) initiatives around population health management, health care cost transformation and value-based programs.

Essential Functions
Mines for and integrates data from multiple, and varied sources, and applies business rules for the purpose of creating analytic data sets. Aggregates raw data from the data warehouse and other data sources and transforms into actionable formats. Performs statistical and data analyses through the manipulation of large data sets.
Develops and maintains databases and systems necessary for data analysis projects and data support functions. Develops and implements processes, documentation and other strategies to optimize statistical efficiency and data quality. Develops reports and visual outputs (e.g., tables, graphs, dashboards) that effectively communicate the analytical findings to stakeholders.
Researches and analyzes data to provide descriptive and predictive analytical insights. Develops necessary models and translates these outcomes into actionable solutions and programs for customers to build and/or improve programs and processes. Develops, formats and communicates results in a manner that meets the needs of stakeholders. Assists in identifying, compiling and providing key metrics in order to measure performance and guide improvement initiatives.
Partners with internal and external stakeholders to understand data needs and deliver insightful analytic solutions. Works closely with other divisions to develop methods to gather and extract appropriate, accurate and timely data. Proactively communicates with all stakeholders.
Provides assistance to various departments and management by recommending appropriate statistical analysis techniques for various projects. Assists other divisions within the company with statistical analysis, as necessary.
Knowledge, Skills and Abilities
Communication (Verbal/Written)

Intermediate
Business Acumen

Intermediate
Research and Data Analysis

Intermediate
Analytical Thinking

Intermediate
Business Analytics

Intermediate
Technical/Professional Knowledge and Skills

Intermediate

Education Requirements
Required: Bachelor's

Preferred: Master's
Field(s) of Study: Statistics, Economics, Mathematics or related field

Experience Requirements
Required: Minimum of 3 Years

Preferred: Minimum of 3 Years
Experience Details: Minimum of 3 years of statistical, data or population health analysis is required

Certification, Licensures& Registration Requirements
Title: N/A

State or Agency: N/A

Equivalent combination of education, experience or training determined to be acceptable by Human Resources may be substituted, unless regulated by contract or program standards

Other Information

Job Posting Policy

Employees new to Blue Cross Blue Shield of North Dakota are eligible to apply for positions within their assigned department after successfully completing 90-days in their role. For positions outside of their department, new employees should attain a minimum of six months of service before applying for a new role. Exceptions to this are acceptable, provided there is good business justification for making the move.

Equal Opportunity Employment

Equal Opportunity Employer of Minorities, Females, Protected Veterans and Individual with Disabilities, as well as Sexual Orientation or Gender Identity.

For questions, please emailcareers@bcbsnd.com

This job posting will be closed 8/7/2020 at 8:00AM CST. No further applications will be considered.",2.6,"Blue Cross Blue Shield of North Dakota
2.6","Fargo, ND","Fargo, ND",501 to 1000 employees,1940,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD),-1
Data Analyst,$50K-$55K (Glassdoor est.),"What are we looking for in a Data Analyst?

As a member of the Information Services department, the Data Analyst supports Comprehensive?s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as necessary
Education & Experience: Bachelor's degree in computer science or a related field and three years of related data analysis experience in a healthcare setting.

Other Requirements: Driver's License, Vehicle Liability Insurance",2.6,"Comprehensive Healthcare
2.6","Yakima, WA","Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Epidemiologist- Data Analyst,$50K-$55K (Glassdoor est.),"Description

Instructs all levels of Enterprise-Wide information system managers and users, including but not limited to CHAS application users, on various epidemiology and database applications.
Coordinates database; create user profiles; query system to produce reports; perform data cleaning and quality control, and maintain data dictionary statistics.
Develop and implement empirically sound data analysis plans in keeping with evaluation and research questions.
Perform routine and complex statistical analysis, ensuring statistical integrity and efficiency using statistical software, such as Statistical Package Social Sciences (SPSS), R+, or Statistical Analysis Software (SAS).
Coordinate all data collection and entry activities, ensuring minimum data integrity standards and completion of tasks in a timely manner.
Identify data entry barriers, working with program staff to research and address issues.
Collaborate with staff to implement data entry plans, scheduling, and monitoring completion of tasks; recommend strategies for optimizing and integrating data across multiple platforms.
Analyze reports of data duplicates or other errors to provide ongoing appropriate communication with staff.
Generate routine and ad hoc reports, charts, and other department presentation materials.
Provide support to develop new data collection instruments and pilot testing.
Implement or support all research and program evaluation projects, including writing evaluation plans and research proposals, publications, and researching grant opportunities.
Update evaluation data; provide to staff requests for data; and conduct routine e-literature search.
Identify and interpret trends and patterns in complex data sets. Develop and conduct surveys and focus groups, and gather other forms of qualitative data, including participant recruitment, volunteer training, and scheduling.
Research and provide surveillance accounts of emerging research findings in the field as they relate to key areas.
Develop and design systems based or automated solutions to enable data collection, tracking, and reporting.
Engage operational and Line of Air Force (LAF) leadership and functional managers where necessary to identify and procure data sharing and user agreements.
Minimum Qualification and Experience:
Expert knowledge of statistical software to perform complex statistical analysis and to compute data, including regression and modeling, required.
Minimum of four (4) years of experience, preferably within the last five (5) years working in a similar public health role, conducting epidemiologic research and/or program evaluation and statistical analysis preferred.
Education: Master’s degree required in any one of these areas: Epidemiology, Biostatistics/Statistics, Public Health, or closely related fields.

The position is contingent on contract award.

CITIZENSHIP AND CLEARANCE REQUIREMENTS:
Must be eligible to work in the US.
Must be able to pass a National Agency Check with Inquiries (NACI).
ASI is an Equal Opportunity Employer. We E-Verify all employees.
Competitive market-based salary, commensurate with experience and education
Comprehensive benefits available (Medical, Dental, PTO, 401k etc).",2.5,"1st American
2.5","San Antonio, TX","Washington, DC",201 to 500 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Marketing Data Analyst,$50K-$55K (Glassdoor est.),"Do you have a natural curiosity and a thrill for problem solving data? If so, we are looking for a marketing data story teller with a bit of tech knowledge to serve as Marketing Data Analyst.

The marketing data analyst holds the crucial role of measuring marketing and detailing effectiveness of marketing channels. The analyst will think strategically and source marketing data to proactively identify and interpret key drivers behind marketing performance. The analyst will also collaborate with marketing stakeholders to devise data driven analysis that generates actionable insights to optimize strategic improvements in marketing effectiveness.

This position will manage third party relationships with the goal of creating impactful and informative marketing dashboards to represent marketing performance– preferably in real time– and support self-service analytics.

The analyst will help drive a data culture in the marketing department so that marketing team members collaborate to set campaign measurements before they launch in market, and track and adjust while in market to align towards enterprise goals.

The Marketing Data Analyst or Marketing Data Analyst Sr. will be an analytical and optimization expert for driving improvements for marketing analytics. This includes a balance of data analysis, data visualization, and marketing optimization. By managing the third party vendors providing us the raw data this role is expected to create and maintain a robust analytic foundation to facilitate rapid marketing metric reporting, review, and analysis of key metrics for optimizing marketing channel performance.

Data expertise and insights will be expected to support marketing strategy and targeting aligning with business goals. The analyst will collaborate with the marketing department to drive a cultural change towards a data driven orientation. The data goal for digital marketing will be to track the entire funnel from marketing contact, to visit, to conversion.

Examples of marketing data to track and support optimization may include:
Campaign performance– trigger, lead generating, cross-sell, up-sell, loyalty and prospect
Promotions performance– measurement of short term promotions from both a business and marketing channel effort.
Web site (google analytics big query) including landing pages
Direct mail
Events
Email/text– delivered, opened, CTR
Display, search, social, video– impressions, clicks, costs per impression, impressions by platform, media spend by tactic, conversion
Essential Job Duties and Responsibilities:

Collaborate with marketing stakeholders to devise data driven analysis that generates actionable insights to optimize strategic improvements in marketing effectiveness.

Develop efficient queries that incorporate multiple data sources. Work with third party vendor and Ent BI staff on ways to acquire required data for key metrics.

Proactively identify and interpret key drivers behind marketing performance and deliver insights to internal marketing department stakeholders.

Manage relationship with third party vendors to: perform data audit, acquire and aggregate data, access and visualize data.

Other duties as required

Minimum formal education required for this position:

Knowledge consistent with a Bachelor’s degree in Business Administration, Marketing, Statistics, Economics, Math or similar field of study.

Each year of relevant work experience may be exchanged for a year in a relevant degree program or vice versa. For example, a requirement of“Knowledge Consistent with a Bachelor’s Degree in Accounting and 2+ years’ of accounting experience” could be substituted for a High School Diploma and 6 years of relevant accounting work experience or a Master’s Degree in Accounting and 0 years of work experience.

Minimum work experience:

Marketing Data Analyst

2+ years’ experience delivering actionable data insights and partnering with stakeholders about data insights.

1+ years’ experience with digital marketing data (ie Google/Adobe analytics, Adwords)

Marketing Data Analyst Sr.

4+ years’ experience delivering actionable data insights and partnering with stakeholders about data insights.

3+ years’ experience with digital marketing data (ie Google/Adobe analytics, Adwords)

Technical or specialized knowledge/skills:
Experience analyzing marketing data performance.
Skilled in interpreting business measurement / reporting needs.
Able to translate data analysis into business and marketing optimization recommendations.
Experience using data visualization tools for marketing purposes to succinctly convey results / trends and insights.
Knowledge of various marketing channels.
Have a natural curiosity of data to go beyond an initial request to deliver informative marketing data insights.
Experience with business intelligence tools such as Microsoft Power BI, Tableau, QlikView, QlikSense, Alteryx or UI Path.
Proficient with the Microsoft Office suite of products (Word/Excel/Outlook/Powerpoint/Access)
Experience with SQL.
(Preferred) Microsoft Azure or similar cloud suites experience.
Certifications required:
None required.
Environmental, physical and psychological requirements:
Must be able to sit or stand for prolonged periods of time in a climate controlled environment. Must be able to use fingers, hands, wrists for repetitive tasks such as typing, using a mouse, handling paper, currency, or coin, and operating a telephone. Demands for visual and auditory acuity are typical of an office environment. Must be able to interact via email, telephone, or in person with diplomacy, tact, and courtesy with all members under varying circumstances. Must be able to lift up to 40 lbs.
Salary range starts around $48,000",3.7,"Ent Credit Union
3.7","Colorado Springs, CO","Colorado Springs, CO",501 to 1000 employees,1957,Other Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD),"Chase, Wells Fargo, First Bank"
Associate Enterprise Data Analyst,$50K-$55K (Glassdoor est.),"*** Please note, Remedi SeniorCare does NOT provide visa sponsorship****
Remedi SeniorCare is looking for an energetic IT professional to become a part of the Enterprise Data Analytics department. This person will work on a small team that will work directly with the business at all levels in developing reports and maintaining an operational data store that is critical to the ever changing business needs.
This person should be self-motivated, organized, and have strong communication skills. This role requires frequent interactions with the corporate executive team to design enhancements to our systems and create reports.

Identify key reports providing metrics for business operations
Identify key reports providing metrics for financial analysis
Design, test, validate, and publish key business intelligence reports out of Qlik
Design, test, validate, and publish reports out of Microsoft SSRS
Modify SQL database conformance at the behest of the end users
Meet with report consumers to ensure data is meeting their needs and where it is not, come up with solutions
Document/save work via version control
Develop written communication and documentation for end users
Work independently with minimal supervision
Any and all other duties assigned by Manager and/or Senior Management

Strong technical proficiency with Microsoft SQL, SSRS, and related technologies
Strong ability to optimize query performance and create efficiencies within SQL code
Strong technical proficiency with Microsoft Excel (Microsoft Access is a plus)
Strong analytical skills to understand and process complex data and then communicate to end users
Ability to understand complex database design/structure with limited documentation
Experience with data visualization tools like Qlik, Tableau, MicroStrategy, or Cognos.
Experience and technical understanding of Softwriters FrameworkLTC is a plus
Experience with the upkeep and management of a Microsoft SQL Database including writing to, querying, and monitoring performance
Ability to work with high level executives and determine requirements for reporting with little oversight
Ability to work in an AGILE environment with strict deadlines",3.4,"Remedi SeniorCare
3.4","Towson, MD","Baltimore, MD",1001 to 5000 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
"Data Analyst, Mid Level (27-01)",$50K-$55K (Glassdoor est.),"Category: Data Analyst

Title: Data Analyst, Mid Level (27-01)

Location(s): Annapolis Junction, MD

Required Security Clearance: Active TS/SCI with appropriate agency Polygraph

Join Freedom – we re a team of IT professionals dedicated to our passion for tech and loving where we work. As a member of our team, how you want to spend your time and which projects you d like to work on is important to us – which is part of the reason we ve been selected as a Top Workplace for multiple years in a row. You ll be part of our friendly, flexible office environment, hands-off management, a variety of social events, and endless growth opportunities. Tell us what you need to do your best work, and we work the magic to make it happen.

We believe in striking that perfect balance between work and play, where you can pursue your creativity and excel in your career, and still have time for all your extracurricular activities. At Freedom, there is no shortage of growth opportunities and a successful career path for a bright, well-rounded professional like you. We have something for everyone – check out our most recent available position below!

What You'll Do

Analyze/deconflict/join HR data created by various applications. Together these datasets represent the human resources available to support project team.

Qualifications and Technical Knowledge

Five+ (5 plus) years of experience analyzing large data sets, specifically:
Provide analytical insights on human resource (HR) data sets using Oracle SQL, PowerB and MS Excel/Access
Conduct detailed data analysis on HR data
Reliably join disparate data sources into a single source for reporting
Use the results of data evaluation to increase data quality and reveal opportunities for data automation (data automation examples: data cleansing, data collection, data loading)
Define and develop a core set of queries that match qualified candidates to language needs
Understand, construct and execute SQL queries to answer executive inquiries in real-time using repeatable processes
Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers
Provide expertise and translate the business needs to design; and develop tools, techniques, and metrics, and dashboards for insights and data visualization
Develop methods to monitor and report data quality issues
Responsible for establishing appreciation and adherence to the principles of data quality management, including metadata, lineage, and business definitions
Provide support to tech teams in managing security mechanisms and data access governance.

What s in It for You?
Flexible work environment
A team mentality – work with friendly, like-minded professionals
Work with innovative, cutting edge technologies
Enjoy extremely competitive compensation and benefits
A work-life balance you can count on
Opportunities to grow and advance your career on our dime
The Benefits You Get with Freedom
Amazing benefits including matching 401k, profit sharing, fully paid medical, and more
Generous paid time off – including paid site closure days
Competitive salary offerings
Paid training and tuition reimbursement
Referral bonuses
Fully paid life and disability
Annual logo wear allowance
Company sponsored events (game nights, holiday party, summer party, happy hours)
Interested in learning more about Freedom and our culture? Contact us today! We re constantly hosting hiring events in our office and elsewhere, to help you get a sense of what life is like at Freedom before joining the team.

Required Security Clearance: Active TS/SCI with an appropriate agency Polygraph is required

U.S. Citizenship is required

As an Equal Opportunity Employer, we do not discriminate on the basis of race, color, religion, sex, age, marital status, disability or veteran status

Applicant Federal & E-Verify Postings

VEVRAA Federal Contractor",4.4,"FREEDOM CONSULTING GROUP
4.4","Annapolis Junction, MD","Columbia, MD",51 to 200 employees,2004,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Lead Data Analyst,$50K-$55K (Glassdoor est.),"Company Profile:
ReefPoint Group (RPG) is a data-driven and health-focused management consulting firm. RPG’s unique group of health systems specialists, data scientists, and industrial engineers generate keen insight into market-specific challenges of the Military Health System (MHS), Department of Veterans Affairs (VA), and other federal and commercial health systems, as well as the communities they serve. RPG provides clients with the knowledge and power to thrive in the challenging and changing landscape of health and health care by leveraging results-oriented, informed, and collaborative innovation and insight.
We have a vibrant culture of innovation that brings results-driven, cutting edge analytic thought to every RPG project. You will have the chance to work within a small, rapidly growing company where everyone has the opportunity to help shape the future of our firm.
Responsibilities:
Help our clients tackle high visibility problems across military medicine:
To help them improve performance across the health system
To adopt and integrate to new technologies
To develop analytic tools and dashboards that provide real-time actionable insight into their operations
Work with data and application developers to perform ETL
Contribute to the creation of dashboards and other reporting tools
Identify key performance indicators and create metric tracking dashboards
Use data mining, statistical and/or machine learning techniques to understand outcomes, processes and provide for data-driven decision making
Create production-ready tools that promote access to data and insight to support strategic and clinical decisions
Create presentation materials and verbally communicate analysis results and project status to client leadership
Perform advanced data research, management, and analysis
Understand and prioritize multiple work assignments with strict deadlines
Preferred Qualifications:
5+ years of experience
Prior project experience working with manpower data and resourcing scenarios
Demonstrated knowledge of operational medicine
Demonstrated knowledge of multifunctional logistics support plans
Experience developing, querying, and managing large data sets using a variety of RDBMS environments such as MS Access, MS SQL Server, and Oracle. Familiarity with MS SSMS and Oracle SQL Developer.
Experience with NoSQL environments
Demonstrated knowledge of data mining and predictive analytic techniques
Master’s Degree in a related field
Eligibility for Top Secret clearance
Minimum Qualifications:
Bachelor’s Degree required; preferred majors include: Business, Mathematics, Statistics, Engineering, or Computer Science
Experience within federal government agencies and/or healthcare
Demonstrated proficiency with MS Access and MS Excel
Experience with other data analysis/visualization tools including R, Python, SAS and/or SQL
Experience with relational databases including MS SQL Server
Demonstrated ability to formulate and complete complex analyses
Excellent organizational skills
Strong, demonstrated communication skills
Must be eligible for a Secret clearance
Additional Information:
Due to our work with the federal government, US citizenship is required for most of the roles at ReefPoint Group, with many full time roles requiring the ability to obtain a security clearance.
Work will require travel to our office and potentially other client locations that could be inaccessible by public transportation. Personal vehicle highly recommended.
Website: http://www.reefpointgroup.com",4.3,"Reefpoint Group
4.3","Falls Church, VA","Edgewater, MD",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1
Product Data Master Analyst,$50K-$55K (Glassdoor est.),"NO VISA SPONSOSHIP WILL BE OFFERED FOR THIS ROLE.

The Data Analyst is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WHAT YOU'LL DO TO BE SUCCESSFUL:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
WHAT WE NEED:
Associates degree or above from a college or university; or 3 years industry work experience.
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with IT
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4.0,"Insight Enterprises, Inc.
4.0","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International"
