Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Engineer,$72K-$135K (Glassdoor est.),"ARC is searching for a Data Engineer to join our team! In this role, you will provide software development and product delivery support for data products and product teams. You will be responsible for product delivery data pipelines and the product lifecycle with direction from the Product Owner, the Solution Owner and technical guidance from Solution Architects.
If you are searching for a position where you can lend your technical expertise and experience professional growth, then we want to hear from you.

Support data pipeline development by contributing to and or leveraging existing architectural patterns to deliver the optimal product related to data; including but not limited to establishing and communicating design patterns, automation, recovery, and operational run books. Mentor other engineers. Cross functional collaboration and provide overall technical and thought leadership to other teams as needed.
Partner with product owners and business SMEs to analyze the business need and provide a supportable and sustainable engineered solution. Ensure that the overall technical solution is aligned with the business needs and adheres to ARC’s Architectural Guiding Principals.
Help drive the creation and modifications of the product portfolio components, identify and engage all technical resources necessary to contribute to the solution. Ensure the solution is consistent with ARC architecture, design and development standards.
Develop data pipelines using industry best practices. Make adjustments to adopt new methodologies that provide the business with increased flexibility and agility.
Stay current with latest cloud technologies, patterns, and methodologies; share knowledge by clearly articulating results and ideas to key stakeholders. May be required to present ideas to larger audience for review and buy-in.

Bachelor’s Degree in Computer Science or related field; or equivalent experience
3+ years of experience with full cycle application development (Full SDLC experience: design, development, delivery, etc.),
3+ years with Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery
3+ years of experience implementing modern applications using:
Cloud Based Solutions/Technologies (AWS, Google, Azure). AWS tech stack including, but not limited to, Lambda, API Gateway, DynamoDB, S3, Cloudwatch, SNS/SQS, Step Functions, Fargate
Implementation of modern application and infrastructure design patterns, including micro-services and containers, disposable, reactive, stateless and distributed patterns
Open source technologies including, but not limited to, NodeJS, OpenJDK, React, Python and NoSQL, DynamoDB database(s)
Familiarity with DevOps tools including, but not limited to, Terraform/Cloud formation, CI/CD pipe line tool like Jenkins, GIT, Jira, Confluence, Jenkins, Sonar, Nexus, automated test and deployment tools
Data warehouse platforms (such as Snowflake, and Redshift). Expertise with SQL, database design/structures, ETL/ELT design patterns, and datamart structures (star, snowflake schemas, etc.)
Experience w/Data Lake concepts and design patters (AWS S3, parquet, python, lambda, java, NoSQL
BI Technologies (such as Tableau, Jasper, Cognos, Qlik, Looker, and others)
Understanding of Data Management and Data governance best practices
You Will Also Bring These Professional Skills:
Proven ability to lead a group through an architectural development process and collaborate with stakeholders at all levels
Experience leading small technical teams to mentor and guide multiple-disciplined (full stack) technical teams
Ability to discover and define functional requirements and to transform them into technical requirements and solutions
Ability to influence technology strategy and best practices across peer and leadership groups to support an agile development culture
Outstanding communication skills (verbal and written) and ability to communicate with internal and external customers and all levels of management, including communicating technical information to nontechnical audiences
A strong intellectual curiosity to continually challenge what exists and explore what should be changed to best meet evolving business and market
A strong passion to support peers to help meet timelines on larger projects

Joining ARC means joining a team that is motivated, diverse, creative, collaborative and solutions-oriented. We think big, embrace challenges, and explore new ideas to lead the way for the travel industry.
Our employees value the hands-on learning and professional development opportunities that allow them to expand their skills and grow their career in new, dynamic ways.
We offer a highly competitive, comprehensive benefits package so you can worry less and focus on what truly matters.
By joining ARC, you will partner with top minds in the industry as we use data and technology to innovate how the world travels.
EOE M/F/D/V Females and Minorities Encouraged to Apply",3.9,"Airlines Reporting Corporation
3.9","Arlington, VA","Arlington, VA",201 to 500 employees,1984,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),-1
Data Engineer,$72K-$135K (Glassdoor est.),"A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass
4.4","Houston, TX","Houston, TX",501 to 1000 employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1
Senior Data Engineer,$72K-$135K (Glassdoor est.),"Healthcare’s helping hand.
COVID-19 precaution: Due to the coronavirus (COVID-19) outbreak, our hiring process will now be completely virtual. All interviews and onboarding activities will be held online or over the phone. We remain committed to putting our people, customers, and communities first and appreciate your patience and flexibility as we work through this.
The (quality) doctor is in.
Modio has streamlined the convoluted and messy process that is healthcare credentialing and saved countless years of manual and error-prone work in the process. As part of CHG Healthcare we are working to drastically improve the speed (and quality) of credentialing to ensure that our doctors can spend more time treating (millions) of patients each year and less time dealing with credentialing headaches.
Our industry is growing and demand is high. This means you’ll have plenty of opportunities to grow and develop in your career. Keeping healthcare healthy can be as fun as it is rewarding.
We are open to this role being in our offices in Salt Lake City, Utah or San Francisco, California.
Your role:
Three database admins walked into a nosql bar. A little while later they walked out because they couldn’t find a table.
On a more serious note, we are looking for a data engineer. This role spans many different technical disciplines, but the overarching goals are straightforward:
Automate the ingress/egress of data from the OneView platform.
Ensure that all the data in the OneView platform is high quality (and automate the process of identifying/fixing low quality/missing data).
In this role you’ll be doing a little bit of everything to accomplish these goals. Whether that means writing new API functionality to import data, setting up/maintaining automated data pipelines, or working on advanced reporting systems is up to you. Consider yourself the glue that makes all of our data accessible and “up to snuff.” This is a highly collaborative and highly visible role; complex systems are not developed in isolation!
A little about our tech stack:
AWS
CloudFormation/Terraform
Kubernetes/Istio
js/TypeScript
Pentaho Data Integration
MySQL/Aurora
If you’re an ambitious product-minded engineer who plays well with others AND can say yes to all of these statements, we are looking for you!
You are a doer. Whether you are coming up with projects that align with our vision or helping others do the same, you are doing it proactively.
You understand how to design software and systems that are maintainable, robust, easy to understand, and capable of scaling. You also know that not every solution needs to be over-engineered.
You should be able to debug technical issues, even if the issue isn’t from “your code” or “your system”.
Your qualifications:
5+ years’ experience working with production data. Must understand things like data normalization, relational databases, data cleansing, data sandboxing, data pipelines, BI/ETL tools, and a bunch of other stuff.
Strong proficiency writing SQL. Reading SQL is a plus.
Experience working with data integration like Pentaho (or similar).
Experience setting up and maintaining data pipelines.
Professional experience working on backend API code (Node.js/TypeScript Preferred but not a hard requirement). Familiarity with defensive coding practices preferred.
Experience working on a scrum team in an agile environment.
Experience mentoring junior engineers and performing code reviews.
(Preferred) BA/BS degree in computer science/software engineering.
(Preferred) Experience with Metabase (or similar BI tool)
(Plus) Experience working with Grafana (or similar tool)
(Plus) Experience with container technologies such as Docker or Kubernetes.
(Plus) Experience designing and building APIs.
(Plus) Experience with AWS.
In return, we offer:
Competitive pay
Healthcare coverage with corporate wellness program
Free on-site health center and health coaching for employees and dependents
401(k) company match
Tuition reimbursement
14 days of PTO your first year and paid holidays
Hall of fame development programs as recognized by Training Magazine
On-site cafeteria and game room
Click here to learn more about our company and culture.
How to Get Started
To have your resume reviewed by Talent Acquisition, click “Apply” at the top of the screen.
We are an Affirmative Action/Equal Opportunity Employer
Veterans/Disabled
We are an at-will employer",4.5,"CHG Healthcare
4.5","Midvale, UT","Midvale, UT",1001 to 5000 employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
Data Analytics Engineer,$72K-$135K (Glassdoor est.),"Analytics Engineer-Administration
Summa Health System
Full-time, w/benefits

Summa Health System is recognized as one of the region’s top employers by a number of third party organizations, including NorthCoast 99. Exceptional candidates gravitate to Summa because of its culture, passion for delivering excellent service to our patients and families commitment to our philosophy of servant leadership, collegial working relationships at every level of the organization and competitive pay and benefits.

Summary:
Works with a team of technologists (Data Engineers and Visualization Engineers) to deliver insights across various aspects of Summa Health’s operational, financial, and clinical activities with the goal of leveraging data to drive and realize the full potential of the organization’s programs.

Minimum Qualifications:

Formal Education Required:
-Bachelor’s degree in computer science, applied mathematics, statistics, or related discipline

Experience & Training Required:
-Five (5) years of experience in a previous analytics role in healthcare domain involving healthcare data analysis to optimize business operations
-Knowledgeable about the workings of integrated healthcare systems, health plan, research, and community programs
-Experience in analyzing healthcare data using statistical methods to optimize business operations and communicating their findings using data visualization and detailed reports

Other Skills, Competencies and Qualifications:
-Analytical mindset with good problem-solving skills
-Excellent written and verbal communication skills
-Acumen for analytics needs of an integrated health system how to use data to achieve those needs.
-Ability to effectively interact with populations of patients/customers with an understanding of their needs for self-respect and dignity
-Ability to summarize results and develop effective business presentations.
-Ability to interact with populations both technical and non-technical, with an understanding of their needs for self-respect and dignity
-Strong, critical thinker with ability to extend knowledge of information systems and applications to business processes and to cross team collaboration. Ability to explain complex, technical concepts to lay audiences and non-IT staff.
-Basic knowledge of data warehousing, data marts
-Experience with one or more Summa application platforms is desirable including Soarian Financials, DSS, HQ/HI, Epic/CarePATH and tools (RWB, Clarity, Caboodle, Radar, SlicerDicer, Registries), CostFlex, e-ClinicalWorks, GE Centricity, Lawson, Pentaho, SAS, Tableau.

1. Work with senior leaders within a line of business and across the enterprise to establish a measurement plan focused on outcomes
2. Work as a data strategist to identify and integrate datasets, data components, and attributes from various information systems to leverage information for business programs and objectives
3. Communicate, advise senior leaders about utilizing all relevant data, including clinical, operational, exposome, social determinate, economic and financial, to drive programmatic growth and achieve strategic outcomes
4. Gather baseline data information to understand current state and improvement opportunity
5. Identify data requirements based on analytical processes to measure the outcomes
6. Conduct descriptive/statistical analysis of the data set to validate hypothesis
7. Define the business requirements / specifications and user interface (Wireframes and Mockups)
8. Work with other members of CoE to develop mission control dashboards that measures the timely performance to outcome
9. Validate, deploy mission control dashboards
10. Educate Mission end users and advocate adoption of analytical tools
11. Support rolling out new insights, which are a result of discovery and exploratory exercises conducted, by citizen data analysts / scientists.
12. Ensuring that mission control insights remain relevant to achieving the desired outcome
13. Confirming that stakeholders are utilizing mission control in pursuit of that outcome
14. Surfacing new insights to drive continuous improvement
15. Communicate findings to stakeholders; implement improvement efforts as needed.




Level of Physical Demands:
Light: Exerts up to 20 pounds of force occasionally and/or up to ten pounds of force frequently, and/or a negligible amount of force continuously.
#LI-AV1",3.5,"Summa Health System
3.5","Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Data Engineer,$72K-$135K (Glassdoor est.),"This role is part of the Business Intelligence and Analytics (BIA) team and focuses on the development and management of TBS data warehouse/data lake implementations and other BI assets such as ETL processes, analytics cubes, reports and dashboards. This role will also be responsible for administration of the various software platforms employed by the BIA team and the training of junior team members in development on the companys BI stack.

Role & Responsibilities:

• Lead the design, development and management of the Enterprise Data Warehouse and various data lakes
• Design, develops and manages ETL processes, including (but not limited to) SSIS packages
• Administrate the existing SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS) environments
• Assists with planning and implementation of SQL Server Analytics Services (SSAS), PowerBI Report Server and any other future technology solution
environments
• Develop, deploys and manages SSRS reports and dashboards for all departments
• Collect, documents and adheres to requirements from stakeholders at various levels of the company
• Keep abreast of the BI stack markets
• Manage tasks and services requests in Jira services desk software

Qualifications, Education & Requirements:

• Bachelors degree in a technical field (Computer Science, Computer Engineering, MIS, Mathematics, etc.) or equivalent related experience.
• Advanced knowledge in developing and tuning T-SQL queries
• Advanced knowledge of data modeling and relational database design
• Advanced knowledge of optimizing Microsoft SQL Server database management system
• 3+ years of developing, deploying and managing ETL processes utilizing SQL Server Integration
Services (SSIS)
• 3+ years of developing, deploying and managing other Microsoft BI stack assets (SSRS/SSAS/PowerBI)
• Experience with message oriented middleware (MOM) and loosely coupled integration approaches
• Ability to assist with the development and implementation of various data warehouse, data lake, and other data management techniques
• Understanding of Master Data Management (MDM) principals
• Ability to research Machine Learning platforms and guide the evaluation and selection of future toolsets
• Experience working in an agile development environment (Jira)
• Passionate about discovering new ways to leverage data and new technologies to enhance value for our clients, associates, and our Company
• Strong organizational, analytical, and problem-solving skills
• Excellent verbal and written communication skills
• Knowledge of dashboard design and data visualization techniques
• Process minded with understanding and experience in process mapping systems (e.g. LucidCharts)",4.3,"TBS Factoring Service
4.3","Oklahoma City, OK","Oklahoma City, OK",201 to 500 employees,1968,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable,-1
"Senior Data Engineer (Santa Clara, CA)",$72K-$135K (Glassdoor est.),"Earnest empowers people with the financial capital they need to live better lives.

We use technology, data, and design to:
Build more affordable products
Deliver them to more people
Engage through more human experiences
As a Senior Data Engineer, you will report to the Head of Data and work closely with other members of the Data team to maintain and improve data pipelines, deploy predictive models as a service, and work on our data infrastructure.

Team Philosophy:
We believe that data engineers should not write ETL, unless data pipelines are necessary to support the services that we build and maintain. Instead, your time is better spent writing tooling and creating abstractions to support the work of analysts and data scientists on the team, so that other users in the company can write and maintain their own ETL.
Everyone on the team is considered and treated as a Senior, so you are given a lot of ownership over the projects you're working on. With this in mind, we expect you to write code that is well tested, modular, and maintainable. We frown at instances of destructive fire fighting, caused by badly designed architecture or mismanaged projects.
We like learners. Hence, we create an environment where Data Scientists learn the skills and abstraction patterns of Software Engineers and Data Engineers learn the iterative model development workflow seen in Machine Learning. Expect an environment where you will be constantly learning and challenged to interact with tools, languages, frameworks that are outside of your area of expertise.
Tools, Frameworks, and Languages you will work with:
Languages: Python, Scala, and occasionally R and Node.js
Storage: Postgres, Redshift, S3
Compute: Spark, Athena, EC2
Workflow Management: Airflow
Infrastructure: Terraform, Kubernetes
Potential Projects:
Deploy trained machine learning models as a Python microservice.
Help migrate legacy ETLs into Airflow
Write tooling to make ETL accessible to engineers on other teams.
Ideal background and expertise:
5+ years of experience as a full-time professional data engineer
Experience with server-side concepts, e.g. microservices, database, caching, performance, monitoring and scalability
3+ years of experience with Python or Scala
Working experience with OLTP databases such as Postgres, MySQL
Extensive experience making data available in OLAP databases such as Redshift or Snowflake
Experience with orchestration tools such as Airflow (preferred), Luigi, Ooozie
Nice to Have:
Familiarity with Business Intelligence tools such as Tableau, Looker, Superset
Domain experience developing software for Fintech, Banking, or related Consumer Financial Services companies
Earnest Perks & Benefits:
Health, Dental, & Vision benefits plus savings plans
Employee Stock Purchase Plan
401(k) plan to help you save for retirement plus a company match
Tuition reimbursement program
$1000 flight on each Earnie-versary to anywhere in the world and 25 days of annual PTO
Earnest provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, disability, genetics, gender identity or expression, or veteran status. Qualified applicants with criminal histories will be considered for the position in a manner consistent with the Fair Chance Ordinance.",3.9,"Earnest
3.9","Santa Clara, CA","San Francisco, CA",51 to 200 employees,2013,Subsidiary or Business Segment,Lending,Finance,Unknown / Non-Applicable,"SoFi, CommonBond, Organic"
Data Analytics Engineer,$72K-$135K (Glassdoor est.),"Our Data Analytics Engineer will engineer elegant and performant analytic code, predominantly in Scala (and Spark), Python and/or R. You will join a growing multi-disciplinary team of Data Scientists, Engineers, and Solutions Experts with deep domain knowledge working to develop new capabilities and workflows to solve real- world client problems.

Your work will include “notebook”-style ad hoc analytic development (similar to tools such as Beaker, Julia, Zeppelin) within the QOMPLX:OS SaaS platform as well as true server-side analytic development. Projects may include near real-time and batch-oriented data processing for analytics and simulation modeling. As an internal user of the QOMPLX platform, your experience will inform the development of the QOMPLX product suite to improve capability, usability and performance.

Our ideal candidate will have a strong work ethic, fantastic attitude and be comfortable tackling any challenge set before him or her. We provide significant flexibility and autonomy to team members, have high expectations and expect everyone to contribute meaningfully to our broader collective goals.

Responsibilities
Engineer data pipelines that handle collection, parsing, cleansing and enrichment of terabytes/petabytes of data to meet the client’s analytics needs
Developing state-of-the-art analytics ranging from ad hoc analysis to production-grade pipelines and workflows
Providing mathematical algorithms and implementations to serve the needs of data analysis workflows in QOMPLX’s modular SaaS platform
Build model management frameworks for data analytics that include both statistical and machine learning models
Understanding customer business challenges and sourcing the most appropriate data sets, algorithms, and architectures (using QOMPLX OS) to solve them quickly and cost-effectively
Own the end to end model development lifecycle and establish and adhere to best practices
Working collaboratively to ensure consistent and performant approaches for analytical code that is integrated with our commercial offerings
Interacting directly with Product, Business Analysts and Customer Success teams to support live customer deployments
Qualifications
Reside in the greater Washington D.C. area or able to relocate
Bachelor's Degree or 8 years of relevant work experience
2+ years of data analytics experience that includes data engineering & analytics
Proven expertise in Machine learning algorithms, libraries & technologies including Neural Networks
Expert knowledge of Scala and/or Python
Expert knowledge of SQL and NoSQL technologies
Experience with agile development within commercial projects or elite non-commercial research
Adept at learning and applying new technologies and solving new problems
Hands on expertise in data analytic technologies such as Apache Spark, Apache Flink, MLOps Pipelines and notebooks like Polynote/Jupyter
Experience blending analytic and simulation modeling approaches to problem solving
Effective organizational skills with strong attention to detail
Strong communication skills - both written and verbal
Desirable
Experience with graph databases and cyber security
Advanced mathematical modeling skills
About QOMPLX

QOMPLX applies artificial intelligence to solve complex, real-world problems at scale. Our Human+AI operating system, QOMPLX:OS™, blends capabilities ranging from data handling, analytics, and reporting to advanced algorithms, simulations, and machine learning, enabling decisions that are just-in-time, just-in-place, and just-in-context. If this type of environment sounds exciting reach out to us directly via application at https://www.QOMPLX .com/careers with a resume and cover letter.

QOMPLX offers a competitive salary, a full range of benefits, including 401(k) and medical, dental & vision coverage, flexible “Personal Time Off (PTO)” plan and 10+ paid holiday days per year",3.5,"QOMPLX
3.5","Reston, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
Data Warehouse Engineer,$72K-$135K (Glassdoor est.),"Data Warehouse Engineer
Bellevue, WA
From .life to .solutions to .news, Donuts is the global leader in high-quality, top-level domains. Our fresh, relevant new domain names provide variety and choice to easily manage and amplify your digital identity. Donuts Inc. is also the parent company of Name.com a leading domain name registrar. Donuts Inc. is headquartered in Bellevue, Washington with offices in Denver, Austin, Dublin, Los Angeles and Beijing.

The Data Tools team at Donuts is seeking a data-oriented software engineer to build and maintain a variety of ETLs, background processes, and internal websites. Our code is Python, our warehouse is BigQuery, and our Cloud is AWS. We fly with Windows or MacOS. We are the hub for several teams that all need quality work, clear communication, and timely deliveries.

Our ideal candidate is comfortable with code and designs creative solutions through data structures. This person visualizes the solution like Tetris blocks falling into place with a passion to expand their knowledge and then share it with teammates. The right person is capable of translating highly technical information into succinct explanations and documentation.

Qualifications:
5+ years of professional experience in database management within a data-driven development
Strong understanding of SQL fundamentals for data analysis, investigation, and design
Mastery of at least one database software: Postgres (preferred), MySQL, or SQL Server
3+ years of Python programming experience in a CI/CD environment with PEP8/linting
Participation in open source projects, online forums, technical blogs, and/or answer sites
Experience with AWS or Google Cloud APIs. BigQuery is a huge plus. git, SSH, and bash/PowerShell skills are a must.
Strong troubleshooting and problem solving skills.

Responsibilities:
Create deploy, and automate ETL and data integration processes into an Enterprise Data Warehouse using Python and BigQuery
Act as a key Data Warehouse SME within the data services team to drive successful adoption of best practices, standardization of data provision to the data warehouse, and proactive management of data refresh and accuracy
Develop and Engineer under a full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operational management. This will include participating on on-call rotation.
Design and implement formal data warehouse testing strategies and plans including unit testing, functional testing, integration testing, performance testing, and validation testing.
Participate in data warehouse health monitoring and performance optimizations as well as quality documentation.

Education:
Bachelor's Degree in Computer Science or equivalent relevant work experience.

A Few Things to Know About us:
Donuts offers a competitive compensation/benefits package in a friendly, collaborative culture that values employee engagement and ongoing career development. Donuts provides some great perks such as a generous stock option plan, a weekly catered lunch, a fully stocked kitchen and frequent social events.

Donuts is an Equal Opportunity Employer and does not discriminate on the basis of race, color, religion, sex, age, national origin, veteran status, marital status, sexual orientation, gender identity, disability or any other category prohibited by local, state or federal law. This policy applies to all aspects of employment, including recruitment, placement, promotion, transfer, demotion, compensation, benefits, social and recreational activities and termination.

Find out more about us at www.donuts.domains and www.name.com.",5.0,"Donuts Inc.
5.0","Bellevue, WA","Bellevue, WA",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$50 to $100 million (USD),-1
Data Recovery Engineer,$72K-$135K (Glassdoor est.),"DriveSavers is the worldwide leader in data recovery services and provides the fastest, most secure and reliable data recovery service available. We are looking for a candidate with 3-5 years of IT / Desktop Support and troubleshooting experience on the Windows PC platform to learn the art of data recovery. Great customer service skills will be a must since you will need to work with the customer over the phone for some projects.
Qualifications
Education: Associates's Degree or equivalent
Experience/Skills: - 3 to 5 years experience in an IT / Desktop Support environment with an emphasis on corporate support- Familiarity with encryption software by Check Point, McAfee, Sophos, Symantec Credent , Trend Micro and others- Demonstrated experience in information technology operations
Needed Skills:- Excellent interpersonal, organizational and communication skills- Strong attention to detail- Able to work independently as well as part of a team- Able to analyze and evaluate customer needs- Able to prioritize and meet deadlines in a fast-paced environment- Maintains knowledge of current technology- Knowledge of MS Office products. - Basic Understanding of the NTFS file system",4.2,"DriveSavers
4.2","Novato, CA","Novato, CA",51 to 200 employees,1985,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
Data Engineer II,$72K-$135K (Glassdoor est.),"With the continued impact of COVID-19 and social distancing measures, Spring Venture Group fully supports remote interviewing and onboarding procedures. This is a permanently remote opportunity.
Who We Are:
Spring Venture Group is a leading digital direct-to-consumer sales and marketing company with product offerings focused on the senior market. We specialize in distributing Medicare Supplement, Medicare Advantage, and related products via our family of brands and dedicated team of licensed insurance agents. Powered by our unique technologies that combine sophisticated marketing, comparison shopping, sales execution, and customer engagement – we help thousands of seniors across the country navigate the complex world of Medicare every day.

What We Want:
Spring Venture Group is hiring for a mid-level Data Engineer. Our business is growing rapidly and presents unique, evolving challenges. Our Data Engineers thrive in a fast-paced environment and find purpose in their work from having a measurable, positive impact on our organization. Our data engineering team is responsible for data integrity and availability for crucial systems at Spring Venture Group, and serves as a primary resource for data expertise. Our Data Engineer is a hybrid of DevOps engineering, Software engineering, and Database engineering, focused on building advanced data warehousing and transformation systems.
What You’ll Do:
Part of your responsibilities as a Data Engineer will be provisioning advanced data transformations through batch and streaming ETL systems. You will build and scale data warehouse systems while maintaining security standards and you will analyze and develop data architecture requirements, determine the feasibility of designs, and implement software solutions best suited for SVG’s processes.You will also support processes to allow automated deployment of schema changes in conjunction with DevOps deployment model. You will work to maintain a self-starter mindset in terms of data process and architecture improvements, with plenty of professional development opportunities to help take you to the next level of your career.
What You’ll Bring to the Role:
Bachelor's degree in Computer Science or related technical field, or equivalent practical experience
2+ years of Data Engineering experience
Experience with the Python language; it’s design, base libraries, built-in features, and how it compares to other languages
Exposure to Python data engineering libraries, including pandas and pyspark
Experience with SQL and data warehouse tools such as AWS Athena
Experience with batch processing tools such as AWS Batch or AWS Glue, or other DAG systems
Real-time processing tools such as AWS Kinesis and AWS Firehose
Intermediate data modeling and architecture design",3.8,"Spring Venture Group
3.8","Kansas City, MO","Kansas City, MO",501 to 1000 employees,2009,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
