Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Data Scientist - Statistics, Early Career",$68K-$111K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
Senior Research Statistician- Data Scientist,$68K-$111K (Glassdoor est.),"Acuity is seeking a Senior Research Statistician- Data Scientist to use statistical knowledge and research skills to solve business problems. The Research Statistician will develop, implement, and interpret statistical models with a strong emphasis on data mining and statistical/predictive modeling. Provides work direction.
ESSENTIAL FUNCTIONS:
Identifies and acquires additional data sources, both internal and external, that can be used to enhance analyses.
Lead the development of analytical models to drive superior business outcomes.
Develop in-depth understanding of drivers for optimization by utilizing statistics and data mining techniques.
Using latest PC tools, develop, enhance and monitor reports and models for other business areas.
Evaluate and use Data Mining Tools.
Support, train, encourage, consult other areas in the company and provide actionable information to management.
Continually monitor database information and future needs.
Explore and acquire data from outside sources.
Use database tools to support other departments
Regular and predictable attendance.
Perform other duties as assigned.
EDUCATION:
Masters/PhD in Statistics, Mathematics, Economics, Operations Research or Computer Science
EXPERIENCE:
5 years P&C insurance, modelling and project leader experience. Programming skills including SAS and R.
OTHER QUALIFICATIONS:
Strong interpersonal, quantitative, problem-solving, computer and conceptual skills.
Aptitude in predictive modeling, multivariate analysis, statistical modeling, data mining techniques and mathematical statistics.
Ability to apply strong programming and data management skills.
Knowledge of and experience with at least one major computer programming language or advanced syntax in a major statistical package.
This job is classified as exempt.",4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
Scientist,$68K-$111K (Glassdoor est.),"Join us as we Rise to the Challenge
At KCI, we’re building an enduring company that provides unparalleled value to our employee-owners. We make our mark designing and delivering our world-class solutions, so we invest deeply in developing our team. We reward integrity and commitment, and when we do well, you do well. Our people have freedom to innovate, unlimited growth, a voice that matters, a lifestyle that works, and skin in the game. Because life’s more fun when you own it.
THE COMPANY
KCI Technologies, Inc. is a 100% employee-owned engineering, consulting and construction firm serving clients throughout the United States. KCI is recognized as an industry leader, employing cutting-edge technologies, management practices and strategic growth initiatives. Employee ownership fosters an entrepreneurial spirit, encourages technical expertise, and shapes strategic planning.

Selected candidate will provide environmental regulatory compliance consulting support under a contract with a major regional transit client. In particular, selected candidate will provide technical support to ensure compliance with federal, state and local air quality regulations. Specific air quality compliance consulting duties may include:
Review and evaluate chemical product SDS sheets and information to determine VOC compliance
Assist with air emissions inventories and compliance reporting
Prepare semi-annual reports and annual certification for Title V air permit
Evaluate new facilities or renovated facilities for permit applicability

Bachelor of Science or Master of Science in Natural or Environmental or related field.
Minimum of 2 - 4 years of professional experience.
Pre-employment drug screening is a condition of employment. Background and motor vehicle checks may be required based upon position.

Complete Annual Individual Training Program
Train adequate backup personnel to support your role in your absence
Attend meetings with clients as required
Comply with all KCI policies and procedures
Ensure projects fulfill ISO compliance requirements
Complete other duties as required/assigned
Assist with preparation of proposals and qualifications in repsonse to RFPs and RFQs
Achieve or exceed budgeted individual utilization target(85% typical)
Attend bi-weekly(or more frequently as necessary) meetings with project team on all projects/tasks
Complete all tasks on time and within budget while fully meeting the scope
Operate within specified (corporate or project) budget parameters
Assess and document potential project impacts
Collect required field data using proper protocols and techniques
Lead field surveys
Lead the development of and assemble organized, clear, and cohesive technical reports
Prepare avoidance or minimization recommendations
Prepare mitigation strategy and plan as required
Process field data for inclusion in reports and deliverables
Review and interpret lab results
KCI Technologies, Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",3.6,"KCI Technologies
3.6","Sparks, MD","Glencoe, MD",1001 to 5000 employees,1988,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1
R&D Scientist,$68K-$111K (Glassdoor est.),"Since 2001, Hygiena has been on a mission to be the global leader in rapid industrial diagnostic testing. Our world-class team of innovators, leaders, creators and problems solvers has helped Hygiena become the breakaway leader in the markets we serve. In our growing global business, there is always opportunity for talented and passionate individuals to grow with Hygiena.

We are currently recruiting for an R&D Scientist to join our Qualicon Diagnostics team located in Delaware!

In this role the R&D Scientist will be responsible for the development and improvement of rapid methods for microbial detection. Design, develop and help with commercialization of new molecular diagnostic products and implementing new technologies that are essential for Hygiena’s product base.

Responsibilities:
• Design and perform studies and experiments needed to improve current methods, assess and develop alternative methods, assays and technology
• Write protocols, analyze and interpret results
• Communicate results at team meetings

Qualifications:
• Ph.D. in Molecular Biology or a related field
o Minimum of 2 years of lab experience
OR
• Master’s Degree in Molecular Biology or a related field required.
o Minimum of 5 years of lab experience
• Hands-on experience in designing studies and experiments and analysis of failure modes with some supervision
• Knowledge of traditional and rapid microbiological techniques is required
• Experience in molecular biological techniques, including DNA/RNA techniques and PCR, qPCR/real time PCR is required
• Experience in Bioinformatics (Primer/Probe Design, multiple sequence alignments, Design of TaqMan and Scorpion probes) is desirable
• Experience in food microbiology, food safety a plus
• Experience in data analysis, interpretation and presentation of results
• Experience in Microsoft Office (Outlook, Word, Excel, PowerPoint) and Adobe Acrobat required.

Supervisory Responsibilities:
• Train and supervise junior level scientist and new employees as needed

Skills/Abilities:
• Assay Development
• Data analysis and interpretation
• Excellent verbal and written communication,
• Must be able to use discretion and independent judgement.
• Self-disciplined and organized
• Ability to multi-task and handle multiple projects
• Must be able to work in a team environment.
• Must be able to pay close attention to details.
• Must be able to adapt and flex to a changing environment.
• Must be able to lift/carry 20 pounds.

Working Conditions:
• May require occasional travel
• May occasionally work evenings and/or weekends.

Physical Demands:
• This position is considered light work - exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the employee sits most of the time, the job is rated for light work.
• Required to have close visual acuity to perform an activity such as: viewing a computer screen
• Frequently required to maintaining a static position, talking, hearing, seeing and repetitive motions.

Work Environment:
• The work environment includes both a typical office environment and a laboratory environment, including exposure to Biosafety Level 2 pathogens

Why you’ll want to join our team.
Teamwork as a core value.
At Hygiena, our emphasis on teamwork and cross-functional communication enables us to build stronger bonds within our business.

Be a part of something big.
Hygiena plays a critical role in helping to prevent global health crisis such as foodborne illness, healthcare-associated infections, and other outbreaks.

Giving back to our communities.
Hygiena believes in giving back by supporting local organizations committed to improving the lives of children and youth in our communities.

Apply Now",3.9,"Hygiena
3.9","New Castle, DE","Camarillo, CA",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Ecolab, Eurofin Private Investment Office"
Scientist: Mammalian Cell Line Development- 3+ years required,$68K-$111K (Glassdoor est.),"ABOUT CELLTHEON:

Located in the SF Bay Area, Celltheon Corporation has developed novel mammalian expression technologies to enhance recombinant protein production. In addition, we are dedicated to offering our clients a diverse range of technical expertise from molecular biology, cell culture, purification process development and generation of early stage pre-clinical material. Celltheon employees enjoy the benefit of having the opportunity to work in a diverse challenging and technical environment with a chance to learn and contribute in multiple areas, offering both personal and professional growth in a short time frame. Celltheon seeks talented, dedicated individuals to join its growing team. Celltheon offers a competitive salary and benefits program. If you desire a position in an active, collaborative scientific environment with the opportunity for professional growth and contribution, please apply on indeed.

Our website: http://www.celltheon.com

Scientist Job Description

Celltheon is seeking an innovative, independent and motivated professional with 3+ years of experience and expertise in mammalian expression technologies including cell line development of monoclonal antibodies and other recombinant proteins. The successful candidate will lead a team of Associate Scientists focused on cell line development of recombinant proteins including stable transfection optimization, single cell subcloning, cell banking, and process optimization. The candidate will be expected to learn and improve on existing cell line development workflows established by the company.

Requirements include:

· Cell Line Development: 3+ years of hands on industry experience with CHO cell line development. An ideal candidate understands cell line development procedures and technologies for transfection, resistance selection, cell counting, clonality documentation, cell passaging, clone selection, clone stability assessment, media adaptation, media and feed preparation, cryopreservation, and process development to improve protein expression.
Process Development Experience: An ideal candidate has bioreactor operation experience (stir-tank and WAVE bioreactors), developing scalable processes for manufacturing.
· Technical expertise: Scientific understanding of the biopharma industry and a general knowledge of the products and technologies needed for clone screening workflows and processes. Has developed and troubleshooted cell line development workflows in the past.

· Communication: Regularly provides written updates on projects. Interprets and effectively communicates scientific findings / results in one-on-one and/or group discussions and summarizes results in presentation format.

· Data maintenance and interpretation: Collects and compiles data and records in laboratory notebooks and batch records, ensuring they are consistently updated, audited, and well maintained. In addition, the candidate must be able to create and revise existing SOPs, as methods are developed and modified.

· Performance and Management: Ability to follow written and verbal instructions in the performance of experiments and method development. Ability to train, manage and delegate tasks to direct reports.

MINIMUM REQUIREMENTS:

· Masters Degree in Biotechnology, Bioprocessing, Bioscience or a related subject

· 3+ years of relevant industry experience in CHO Cell Line Development

· Understanding of GxP compliance is preferred.

· Strong working knowledge of Microsoft suite of software (Word, Excel, PowerPoint)

· Good verbal and written communication skills including report writing.

· Ability to lift/ carry ~50 pounds and work in a biosafety cabinet.

· Ability to lead and manage a team of 4-5 people, and interact with other department leads.

Job Type: Full-time

Experience:
Mammalian Cell Line Development: 5 years (Required)
Education:
Master's (Required)
Work authorization:
United States (Required)
Company's website:
www.celltheon.com
Work Remotely:
No",4.0,"Celltheon
4.0","San Francisco, CA","Union City, CA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Engineer,$68K-$111K (Glassdoor est.),"ARC is searching for a Data Engineer to join our team! In this role, you will provide software development and product delivery support for data products and product teams. You will be responsible for product delivery data pipelines and the product lifecycle with direction from the Product Owner, the Solution Owner and technical guidance from Solution Architects.
If you are searching for a position where you can lend your technical expertise and experience professional growth, then we want to hear from you.

Support data pipeline development by contributing to and or leveraging existing architectural patterns to deliver the optimal product related to data; including but not limited to establishing and communicating design patterns, automation, recovery, and operational run books. Mentor other engineers. Cross functional collaboration and provide overall technical and thought leadership to other teams as needed.
Partner with product owners and business SMEs to analyze the business need and provide a supportable and sustainable engineered solution. Ensure that the overall technical solution is aligned with the business needs and adheres to ARC’s Architectural Guiding Principals.
Help drive the creation and modifications of the product portfolio components, identify and engage all technical resources necessary to contribute to the solution. Ensure the solution is consistent with ARC architecture, design and development standards.
Develop data pipelines using industry best practices. Make adjustments to adopt new methodologies that provide the business with increased flexibility and agility.
Stay current with latest cloud technologies, patterns, and methodologies; share knowledge by clearly articulating results and ideas to key stakeholders. May be required to present ideas to larger audience for review and buy-in.

Bachelor’s Degree in Computer Science or related field; or equivalent experience
3+ years of experience with full cycle application development (Full SDLC experience: design, development, delivery, etc.),
3+ years with Agile, Scrum, DevOps, and Continuous Integration and Continuous Delivery
3+ years of experience implementing modern applications using:
Cloud Based Solutions/Technologies (AWS, Google, Azure). AWS tech stack including, but not limited to, Lambda, API Gateway, DynamoDB, S3, Cloudwatch, SNS/SQS, Step Functions, Fargate
Implementation of modern application and infrastructure design patterns, including micro-services and containers, disposable, reactive, stateless and distributed patterns
Open source technologies including, but not limited to, NodeJS, OpenJDK, React, Python and NoSQL, DynamoDB database(s)
Familiarity with DevOps tools including, but not limited to, Terraform/Cloud formation, CI/CD pipe line tool like Jenkins, GIT, Jira, Confluence, Jenkins, Sonar, Nexus, automated test and deployment tools
Data warehouse platforms (such as Snowflake, and Redshift). Expertise with SQL, database design/structures, ETL/ELT design patterns, and datamart structures (star, snowflake schemas, etc.)
Experience w/Data Lake concepts and design patters (AWS S3, parquet, python, lambda, java, NoSQL
BI Technologies (such as Tableau, Jasper, Cognos, Qlik, Looker, and others)
Understanding of Data Management and Data governance best practices
You Will Also Bring These Professional Skills:
Proven ability to lead a group through an architectural development process and collaborate with stakeholders at all levels
Experience leading small technical teams to mentor and guide multiple-disciplined (full stack) technical teams
Ability to discover and define functional requirements and to transform them into technical requirements and solutions
Ability to influence technology strategy and best practices across peer and leadership groups to support an agile development culture
Outstanding communication skills (verbal and written) and ability to communicate with internal and external customers and all levels of management, including communicating technical information to nontechnical audiences
A strong intellectual curiosity to continually challenge what exists and explore what should be changed to best meet evolving business and market
A strong passion to support peers to help meet timelines on larger projects

Joining ARC means joining a team that is motivated, diverse, creative, collaborative and solutions-oriented. We think big, embrace challenges, and explore new ideas to lead the way for the travel industry.
Our employees value the hands-on learning and professional development opportunities that allow them to expand their skills and grow their career in new, dynamic ways.
We offer a highly competitive, comprehensive benefits package so you can worry less and focus on what truly matters.
By joining ARC, you will partner with top minds in the industry as we use data and technology to innovate how the world travels.
EOE M/F/D/V Females and Minorities Encouraged to Apply",3.9,"Airlines Reporting Corporation
3.9","Arlington, VA","Arlington, VA",201 to 500 employees,1984,Company - Private,Financial Transaction Processing,Finance,$100 to $500 million (USD),-1
"Senior Data Engineer (Santa Clara, CA)",$68K-$111K (Glassdoor est.),"Earnest empowers people with the financial capital they need to live better lives.

We use technology, data, and design to:
Build more affordable products
Deliver them to more people
Engage through more human experiences
As a Senior Data Engineer, you will report to the Head of Data and work closely with other members of the Data team to maintain and improve data pipelines, deploy predictive models as a service, and work on our data infrastructure.

Team Philosophy:
We believe that data engineers should not write ETL, unless data pipelines are necessary to support the services that we build and maintain. Instead, your time is better spent writing tooling and creating abstractions to support the work of analysts and data scientists on the team, so that other users in the company can write and maintain their own ETL.
Everyone on the team is considered and treated as a Senior, so you are given a lot of ownership over the projects you're working on. With this in mind, we expect you to write code that is well tested, modular, and maintainable. We frown at instances of destructive fire fighting, caused by badly designed architecture or mismanaged projects.
We like learners. Hence, we create an environment where Data Scientists learn the skills and abstraction patterns of Software Engineers and Data Engineers learn the iterative model development workflow seen in Machine Learning. Expect an environment where you will be constantly learning and challenged to interact with tools, languages, frameworks that are outside of your area of expertise.
Tools, Frameworks, and Languages you will work with:
Languages: Python, Scala, and occasionally R and Node.js
Storage: Postgres, Redshift, S3
Compute: Spark, Athena, EC2
Workflow Management: Airflow
Infrastructure: Terraform, Kubernetes
Potential Projects:
Deploy trained machine learning models as a Python microservice.
Help migrate legacy ETLs into Airflow
Write tooling to make ETL accessible to engineers on other teams.
Ideal background and expertise:
5+ years of experience as a full-time professional data engineer
Experience with server-side concepts, e.g. microservices, database, caching, performance, monitoring and scalability
3+ years of experience with Python or Scala
Working experience with OLTP databases such as Postgres, MySQL
Extensive experience making data available in OLAP databases such as Redshift or Snowflake
Experience with orchestration tools such as Airflow (preferred), Luigi, Ooozie
Nice to Have:
Familiarity with Business Intelligence tools such as Tableau, Looker, Superset
Domain experience developing software for Fintech, Banking, or related Consumer Financial Services companies
Earnest Perks & Benefits:
Health, Dental, & Vision benefits plus savings plans
Employee Stock Purchase Plan
401(k) plan to help you save for retirement plus a company match
Tuition reimbursement program
$1000 flight on each Earnie-versary to anywhere in the world and 25 days of annual PTO
Earnest provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, disability, genetics, gender identity or expression, or veteran status. Qualified applicants with criminal histories will be considered for the position in a manner consistent with the Fair Chance Ordinance.",3.9,"Earnest
3.9","Santa Clara, CA","San Francisco, CA",51 to 200 employees,2013,Subsidiary or Business Segment,Lending,Finance,Unknown / Non-Applicable,"SoFi, CommonBond, Organic"
Epidemiologist- Data Analyst,$68K-$111K (Glassdoor est.),"Description

Instructs all levels of Enterprise-Wide information system managers and users, including but not limited to CHAS application users, on various epidemiology and database applications.
Coordinates database; create user profiles; query system to produce reports; perform data cleaning and quality control, and maintain data dictionary statistics.
Develop and implement empirically sound data analysis plans in keeping with evaluation and research questions.
Perform routine and complex statistical analysis, ensuring statistical integrity and efficiency using statistical software, such as Statistical Package Social Sciences (SPSS), R+, or Statistical Analysis Software (SAS).
Coordinate all data collection and entry activities, ensuring minimum data integrity standards and completion of tasks in a timely manner.
Identify data entry barriers, working with program staff to research and address issues.
Collaborate with staff to implement data entry plans, scheduling, and monitoring completion of tasks; recommend strategies for optimizing and integrating data across multiple platforms.
Analyze reports of data duplicates or other errors to provide ongoing appropriate communication with staff.
Generate routine and ad hoc reports, charts, and other department presentation materials.
Provide support to develop new data collection instruments and pilot testing.
Implement or support all research and program evaluation projects, including writing evaluation plans and research proposals, publications, and researching grant opportunities.
Update evaluation data; provide to staff requests for data; and conduct routine e-literature search.
Identify and interpret trends and patterns in complex data sets. Develop and conduct surveys and focus groups, and gather other forms of qualitative data, including participant recruitment, volunteer training, and scheduling.
Research and provide surveillance accounts of emerging research findings in the field as they relate to key areas.
Develop and design systems based or automated solutions to enable data collection, tracking, and reporting.
Engage operational and Line of Air Force (LAF) leadership and functional managers where necessary to identify and procure data sharing and user agreements.
Minimum Qualification and Experience:
Expert knowledge of statistical software to perform complex statistical analysis and to compute data, including regression and modeling, required.
Minimum of four (4) years of experience, preferably within the last five (5) years working in a similar public health role, conducting epidemiologic research and/or program evaluation and statistical analysis preferred.
Education: Master’s degree required in any one of these areas: Epidemiology, Biostatistics/Statistics, Public Health, or closely related fields.

The position is contingent on contract award.

CITIZENSHIP AND CLEARANCE REQUIREMENTS:
Must be eligible to work in the US.
Must be able to pass a National Agency Check with Inquiries (NACI).
ASI is an Equal Opportunity Employer. We E-Verify all employees.
Competitive market-based salary, commensurate with experience and education
Comprehensive benefits available (Medical, Dental, PTO, 401k etc).",2.5,"1st American
2.5","San Antonio, TX","Washington, DC",201 to 500 employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,$68K-$111K (Glassdoor est.),"A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass
4.4","Houston, TX","Houston, TX",501 to 1000 employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1
Data Scientist,$68K-$111K (Glassdoor est.),"It's fun to work in a company where people truly BELIEVE in what they're doing!

We're committed to bringing passion and customer focus to the business.

Thank you for your interest in NAVEX Global. At this time we are not actively hiring for the Data Scientist role, however, we encourage you to apply and join our Talent Network. We continue to prioritize engaging great people and look forward to learning more about you!

Position Summary:

As a Data Scientist, you will create innovative solutions to solve business problems by using real world solutions for decision making. Designing algorithms that solve business critical problems fo the world’s largest risk and compliance platform, your contributions make a material impact to the business culture. If you want to use cutting-edge machine learning techniques with technoloty that drives crucial decisins, this role is for you.

We Offer You:
An organization that is secure, growing and thriving with a reputation that we are proud to say is absolutely second to none
A workplace experience that is based on our determination to retain you each day and enables you to learn, grow and develop your career, and people dedicated to your success at every level
Competitive pay with benefits that matter, including the time and flexibility to balance the multiple roles you play in life
Access to world’s largest data set in risk and compliance function
What You Will Do:
Analyze large sets of transactional data to understand core domain behavior in the area of Risk and Compliance function
Design, develop, and validate machine learning models, including to deploy, monitor, and maintain models in production.
Statistical modelling
Explore and extract features and patterns to improve model capability
Prototype modeling strategies to train and optimize model performance
Perform link analysis with Users, Cases, Policies and Procedures and Training in an enterprise
Perform time series modeling to predict risk trends
Identify possible problems with data or processes and helps remediate
Extraction, curation and analysis
Data modeling and data transport pipelines to make data available for training and testing models
Drive the determination of technology-driven product features and capabilities
Recommendation on Language and library specification and help establish processes for a growing data science team
What You Will Need:
Background in STEM with 2+ year experience as a data scientist with specialization in machine learning, statistical modeling and optimization
Strong knowledge in predictive modeling, statistics and data science
Experience in machine learning including neural networks, reinforcement learning, adversarial learning, etc.
Desired experience in visualization tools such as ggplot, d3.js and Matplottlib, and Tableau
Proficiency in one or multiple data science programming languages such as R, Python and Spark
Database design and sql queries to extract data
Ability to communicate with both business and technical leaders
Proficiency in collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the data
Ability to prioritize, execute and deliver projects on time
Capability to translate business opportunities into data science problems and define the correct project scope and performance metrics to measure success
Experience working with agile development teams and processes
Experience with change management, process improvement and project management
Ability to build consensus among different groups with competing demands
Experienced planning for the future, keeping abreast of new trends and technologies while managing day-to-day projects
A commitment to do the right things right
NAVEX Global is an equal opportunity employer, including disability/vets.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",3.2,"NAVEX Global
3.2","Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
