Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Machine Learning Engineer,$43K-$85K (Glassdoor est.),"POSITION PURPOSE:
This position is responsible for aiding operational areas of the organization leveraging both internal and external data assets to achieve business insights, gain deeper understanding of member needs, and enhance tactical and strategic decision making.
NATURE AND SCOPE:
Collaborates with data science team to extract analytical, behavioral and predictive data sets and data pipelines from ever increasing data resources. Understands progressive statistical, programmatic, and analytical approaches to business hypotheses as it applies to available data. Aids business owners & data science team in the interpretation of source data and associated business data pipelines. Requires a solid understanding of both the technical and business aspects of Data Science and business analytics. Requires full software development life cycle experience within various analytical architectures, including piloting models, architecting underlying data design, and model operationalization. Models will be deployed using agile methodologies to ensure timely and relevant delivery.
Responsible for the design, development, and maintenance of analytical models that will be placed into operation. Will be required to explore internal and external data sources to identify useful structures within the data that were/are previously unknown to the business. Should have a strong understanding of relational and dimensional modeling to facilitate data wrangling, model operationalization, and exploration of data. Responsible for adhering to corporate data governance policy and controls to ensure the accuracy, timeliness and confidentiality of resources under management. Must be able to work with users from all levels of management in developing and implement operational and strategic analytics. The Machine Learning Engineer’s primary focus will be on operationalization of analytical models.

Be the go-to-person for data pipelines to support operational implementation of Data Science and analytical models.
Engineer each solution with serverless technology when possible, with optimized performance.
Execute analytics solution engineering strategy, requirements, and adapt processes as needed.
Perform DevOps and orchestration around supporting data marts and analytical processes.
Monitor and secure usage of data while tracking analytic product performance.
Advise and collaborate in internal partnerships to deliver accurate, available, and accessible API services.
Ensure all security, documentation, governance, and compliance standards are met.
Manage small reporting layer on top of analytical models to ensure accountability and insight into models’ performance and impact.
Identifies potential concerns based on projections of current trends.

Experience developing business analytical solutions in large or midsize companies.
Must be able to manage multiple tasks simultaneously and react to problems quickly.
Contribute to Credit Union culture by keeping a positive attitude and growing relationships
Understanding of the financial services industry desired.
Experience with dashboard design and delivery desired
Must be able to translate concepts and directions into practical solutions.
Must have development experience with various data management technology; NoSQL; relational database; message broker; multi-dimensional database; and design architecture.
Understand data collection, streaming, preparation, analysis, visualization, modeling, algorithm integration, evaluation, optimization within an implementation context.
Must have advanced SQL abilities, experience with both Oracle and Microsoft desired.
Must have advanced programming experience with Python
Must have experience with Linux.
Experience with Anaconda; RabitMQ; Jupyter Notebook; Tableau desired
EXPERIENCE:
3+ years of experience in designing, developing and implementing Data Science solutions.
EDUCATION:
Bachelor of Science degree in information technology, computer science, statistics, or related business degree with equivalent experience of 3 years.
Master of Science in information technology, computer science, statistics, or related degree.",3.8,"America First Credit Union
3.8","Ogden, UT","Ogden, UT",1001 to 5000 employees,1939,Nonprofit Organization,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Zions Bancorporation, Mountain America Credit Union, Goldenwest Credit Union"
Aviation Data Scientist and Machine Learning Engineer,$43K-$85K (Glassdoor est.),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

MITRE has an immediate opening for an Aviation Data Scientist with a specialization in machine learning to be part of a dynamic team of professionals working to improve the efficiency of traffic flow management operations in the United States National Airspace System (NAS). We are looking to expand our team with someone with demonstrated technical excellence involving analysis of aviation data and the application of machine learning techniques to solving complex problems. Key Functions: The successful candidate will be part of a team conducting analyses of multiple, integrated sets of aviation, weather, and other related data to identify ways to improve predictive models, identify trends impacting operations, and apply machine learning techniques to solve complex problems. Qualifications: Preferred Qualifications: - Experience using tools such as Java, R, and Python to prepare and analyze time series data. - Coding, data modeling, simulation, and data visualization experience (e.g., Tableau). - Excellent statistical and mathematical skills. - Excellent written and verbal communications skills. - Experience with machine learning techniques and algorithm development. - Familiarity with machine learning frameworks (like TensorFlow, Keras, or PyTorch) and libraries (like scikit-learn). - Knowledge of Hadoop (e.g., Pig, Spark) or another distributed computing system. - Past experience working in the aviation domain and with aviation data. Skill is desired, but not required. Minimum Qualifications: BS in Data Science, Machine Learning, or related field of study.

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
AI/ML Engineer,$43K-$85K (Glassdoor est.),"Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

We seek a data scientist who specializes in artificial intelligence and machine learning. The ideal candidate is highly motivated to apply the breadth of their technical expertise to solving problems faced by MITRE’s Department of Treasury and Department of Commerce sponsors.

The ideal candidate will have the following personal attributes:
• Independent thinker with intellectual curiosity in both technical and business domains
• Interest in opportunities to lead small teams
• Ability to work autonomously while accountable to work leader
• Growth mindset – ability to listen and respond to constructive feedback

Key Responsibilities:
• Work in close collaboration with government stakeholders as part of a multidisciplinary team
• Analyze structured and unstructured data sources to determine the key business questions and hypotheses that can be explored with the data sets
• Evaluate approaches and algorithms based on available data and research objectives
• Develop experimental prototypes to demonstrate concepts for Federal government sponsors
• Communicate approach and results to decision makers in a manner that enables them to act

Basic Qualifications:
• Bachelor's Degree in Computer Science or Computer Engineering or similar field, and 5 years related experience
• Candidate must be able to demonstrate an ability to apply advanced principles, theories and concepts comparable to those obtained with a Master's degree in a relevant field of study.
• Candidate should understand the missions, domains and challenges of MITRE customers.
• In addition, the candidate understands that he/she will be fully responsible for deliverables-including definition, completion, and technical quality, as well as assuring consistency across the responsibility span.
• Applicants selected for this position will be subject to a government security investigation and must meet eligibility requirements for access to classified information or applicants who are eligible for security clearances

Required Qualifications:
• B.S. degree and 5 years related experience, M.S. degree and 3 years related experience, or Ph.D. in computer science, mathematics, or a related field
• Strong theoretical background in at least two learning techniques: supervised (e.g., SVMs, regression, decision trees), unsupervised (e.g., clustering, neural networks), or reinforcement
• Demonstrated experience applying supervised and unsupervised techniques to structured data
• Experience with at least one language for implementing AI/ML algorithms (e.g., Python, R)
• Basic SQL skills
• Strong writing and communication skills and ability to communicate results of research and analysis to a non-technical audience, particularly communicating why results matter
• Ability to visualize patterns in data and research results for a non-technical audience
• Familiar with data management best practices
• Familiar with DevOps patterns and practices

Preferred Qualifications:
• Program management skills
• Experience developing and deploying data-driven applications
• Experience with Docker and Kubernetes
• Capable of evaluating Differential Privacy algorithms and implementations, and capable of researching DP to develop new algorithms
• Experience working with financial data
• Theoretical background in natural language processing techniques (e.g., parsing, topic modeling, entity recognition, sentiment analysis)
• Experience with Hortonworks Data Platform tools

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
Perception Engineer,$43K-$85K (Glassdoor est.),"Kodiak Robotics is not just a software company, we are developing autonomous technology for long-haul trucking. Our team is highly experienced and comes from the leading technology companies in the space.

We are looking for a highly skilled perception engineer to join us and solve real-world robotics problems.
In this role, you will:
Be responsible for designing perception algorithms and implementing them in robust, efficient, and well-tested C++ code.
Solve real-world perception challenges such as lane detection, object detection and classification, tracking, sensor fusion, localization, mapping, or sensor calibration.
Integrate both novel and well-established techniques such as deep neural networks, decision trees, Kalman and particle filters, or point cloud processing on camera, laser, radar, and ultrasound data.
Collaborate closely with other experts on the team, including the planning and systems engineering team.
Qualifications:
Strong technical background. BS, MS or PhD with 2+ years of academic or industry experience in designing and implementing perception algorithms. You are a skilled software engineer with experience in C++ and strong problem-solving skills. You are passionate about solving real-world robotics problems, and you have ideally worked on autonomous robots before. Prior knowledge of working with deep neural networks is a strong plus.
A team player. You take ownership and work with the team to deliver exceptional results. You are interested in the performance of the entire system across engineering disciplines.
Ability to build and iterate quickly. You enjoy working fast and smart, and you are comfortable in the earlier stages of developing an algorithm from scratch.
Hands on. You dig deep into important details such as the sensor driver if it improves the overall system. You like working with production machine learning pipelines, from dataset collection and labeling to training and validation.
Great communicator. You have experience writing clear, concise, and detailed documentation.
Benefits:
A place with big goals that we trust we can achieve.
A fast paced environment where we work with talented, committed and supportive teammates.
Equity and competitive pay. Every employee is a stakeholder in Kodiak’s success.
Excellent medical, dental and vision benefits.
Flexible PTO and generous parental leave policies.
A beautiful facility in Mountain View.
We love our dogs, so we are a dog friendly office!
At Kodiak, we strive to build a diverse community working towards our common company goals in a safe and collaborative environment where harassment of any kind is strictly prohibited. Kodiak is committed to equal opportunity employment regardless of race, ethnicity, religion, gender identity, sexual orientation, age, disability, or veteran status, or any other basis protected by applicable law.",4.7,"Kodiak Robotics
4.7","Mountain View, CA","Mountain View, CA",51 to 200 employees,2018,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Senior Research Engineer - Biological Imaging & Computer Vision,$43K-$85K (Glassdoor est.),"Sony Corporation of America, located in New York, NY, is the U.S. headquarters of Sony Corporation, based in Tokyo, Japan. Sony's principal U.S. businesses include Sony Electronics Inc., Sony Mobile Communications (USA) Inc., Sony Interactive Entertainment LLC., Sony Pictures Entertainment Inc., Sony Music Entertainment, and Sony/ATV Music Publishing LLC. With some 900 million Sony devices in hands and homes worldwide today, a vast array of Sony movies, television shows and music, and the PlayStation Network, Sony creates and delivers more entertainment experiences to more people than anyone else on earth. To learn more: www.sony.com.

Nearly 70 years ago, Masaru Ibuka founded our great company with just one, primary motive: ""to create a stable work environment where engineers who have a deep and profound appreciation for technology can realize their societal mission and work to their heart's content.” Today, we not only celebrate the enduring history of our world-changing products and the prodigious minds behind them, but seek far and wide to rally the most talented and passionate engineers in the world to our cause. Together, we work as ""One Sony"", built and driven by engineering; intensely focused on delivering the experiences that put that beaming smile on our customers’ faces, time after time.

Sony R&D Center US, San Jose, CA is seeking to welcome the best and the brightest into our world-class R&D team, and if you’re up to the challenge, we’d love to see what you’ve got. We’re inventing right here the technology and products that go on to touch customer’s lives all over the world, and soon we could be working to bring your ideas to life.

Accountabilities:
Investigate and utilize complex engineering and mathematical principles to develop core technologies.
Contribute to research projects that develop a variety of algorithms and systems in bioinformatics, computer vision, image and video analysis.
Assess and improve algorithm performance on a variety of platforms.
Analyze and determine system standards and test procedures.
Evaluate identifiable factors and demonstrate good judgment in selecting methods and techniques for obtaining solutions.
Advance the state-of-the-art in the field, including generating patents.
Prototype and implement image and video analysis product components.
Work with researchers in global locations to understand algorithm requirements and deliver high-quality solutions.
Required Experience:
Ph.D. Degree in Biomedical/Electrical/Computer Engineering, Computer Science, or Life Science areas
Strong knowledge of fundamentals in feature extraction, computer vision and image/video analysis, including Deep Learning
Working knowledge in life science imaging, system biology, or single cell analysis.
Must be self-motivated and creative, with proven analytical skills, excellent research record, and ability to communicate effectively
Flexibility and adaptability to work and collaborate with researchers in global locations
Must be able to travel domestically and internationally if required
Preferred experience:
Strong theoretical and practical background in Computer Vision, Image and Video analysis, specifically Object Detection, Tracking, Segmentation, Optical Flow, Optimization, Biological Imaging are strong plus
Proven ability to develop new research ideas as demonstrated by a strong publication record and early developments to the level of a working system prototype is a strong plus
Excellent programming skills in Python/Matlab or C/C++ is a strong plus
Solid knowledge on Deep Learning frameworks such as Torch/PyTorch or TensorFlow
#LI-SS1

Sony is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religious creed, sex (including pregnancy), gender, national origin, citizenship, ancestry, age, physical or mental disability, military status, status as a veteran or disabled veteran, sexual orientation, gender identity or expression, marital or family status, genetic information, medical condition, or any other basis protected by applicable federal, state, or local law, ordinance, or regulation.

Disability Accommodation for Applicants to Sony Corporation of America

Sony Corporation of America provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. For reasonable accommodation requests, please contact us by email at careers@sonyusa.com or by mail to: Sony Corporation of America, Human Resources Department, 25 Madison Avenue, New York, NY 10010. Please indicate the position you are applying for.",3.9,"Sony Electronics
3.9","San Jose, CA","San Diego, CA",10000+ employees,1946,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Samsung Electronics America, Apple, Panasonic, Samsung Electronics America, Apple, Panasonic"
Ag Data Scientist,$43K-$85K (Glassdoor est.),"We're leaders. Innovators. Perfectionists. Constantly improving our products and practices, with our customers always at the forefront of everything we do. We’re the largest family-owned, retail seed company in the country and we’re looking for qualified leaders like you to help us grow. When you join Beck’s, you join a family. And it’s what we do together that sets us apart.

Our Ag Data Scientist will take our innovative technology solutions to the next level by creating tools for our Technology team and providing insight and analytics on datasets.Our Ag Data Scientist will provide support and management of department projects as directed.

This positions requires citizenship of or current work authorization in the United States.",4.5,"Beck's Hybrids
4.5","Atlanta, IN","Atlanta, IN",501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),-1
"Data Scientist - Statistics, Early Career",$43K-$85K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
Machine Learning Engineer,$43K-$85K (Glassdoor est.),"The Video & Image Understanding Group develops and applies cutting-edge computer vision and deep learning techniques to solve problems in object detection, recognition, localization & tracking; biometrics; 3D scene reconstruction; threat detection; vision-aided navigation; and situational awareness. Our projects integrate algorithmic research, software engineering, and application system development to produce innovative capabilities that address challenging national security problems. We actively collaborate with research engineers across STR, as well as with academic researchers and industry partners to develop practical and powerful computer vision solutions.

The Role:
Develop, implement and evaluate machine learning algorithms to detect, segment, classify and track objects in diverse imaging modalities.
Apply machine learning techniques to integrate information from multiple looks and multiple modalities to improve scene understanding capabilities.
Develop and apply transfer learning and domain adaptation techniques to solve scene understanding problems where limited measured training data is available.
Perform data analysis on experimental data and identify performance improvement strategies.
Transition machine learning algorithms to prototype and/or real-time systems demonstrations.
Who You Are:
BS, MS or PhD degree in Computer Science, Electrical Engineering, Applied Mathematics or related technical discipline
Strong scientific software development skills
Independent analytical problem-solving skills
Experience in machine learning techniques, particularly deep learning
Motivated collaborator and excellent communicator to both technical and non-technical audiences
Some Other Relevant Skills You May Have:
Experience with Python and C/C++
Experience in developing and applying machine learning techniques to solving computer vision problems",4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
Data Scientist/Machine Learning,$43K-$85K (Glassdoor est.),"Data Scientist/Machine Learning

Mist, a Juniper Company, is the first vendor to bring enterprise-grade Wi-Fi, BLE and IoT together through a highly scalable cloud architecture. At Mist, we built the first AI-empowered platform to provide an unprecedented visibility into the user experience. Mist is the new global standard for many fortune 500 companies.

The mission of the Data Science team at Mist is to leverage state-of-art ML and AI technologies to build the next-generation self-driving network solution, which can take actions on behalf of or together with human experts to automatically monitor, detect and remediate common network issues. The team includes a group of experienced and talented data scientists and data science engineers, and builds the end-to-end data analytics infrastructure and ML models of the product.

Now we are looking for a Senior Data Scientist to help define and expand this mission. As a data scientist, you will collaborate with product managers and domain experts to identify use-impacting real customer problems, use your deep DS/ML knowledge to develop data-driven solution with terabytes data, and work closely with data engineers to implement and scale the models in production.

Qualifications/Requirements:
• MS or PhD in Computer Science, Electrical Engineering, Statistics, Applied Math or equivalent fields with strong mathematical background
• Excellent understanding of machine learning techniques and algorithms, including clustering, anomaly detection, optimization, neural network etc
• 3+ years experiences building data science-driven solutions including data collection, feature selection, model training, post-deployment validation
• Strong hands-on coding skills (preferably in Python) processing large-scale data set and developing machine learning models
• Familiar with one or more machine learning or statistical modeling tools such as Numpy, ScikitLearn, MLlib, Tensorflow
• Good team worker with excellent communication skills written, verbal and presentation

Desired Experience:
• Experience with AWS, S3, Flink, Spark, Kafka, ElasticSearch
• Knowledge and experience with NLP technology
• Previous work in a start-up environment

Juniper Networks is enrolled in E-Verify® and will be participating in E-Verify in addition to our Form I-9 process. www.dhs.gov/E-Verify
Juniper Networks is an Equal Opportunity/Affirmative Action Employer.",3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1
Data Scientist,$43K-$85K (Glassdoor est.),"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.9,"MMIT
3.9","Yardley, PA","Yardley, PA",201 to 500 employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
